persona_name,persona_archetype,question_id,question_category,run_number,brand,canonical,sentiment,rank,attributes,quote
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,1,Panera,Panera Bread,positive,primary,"speed, convenience, app, taste","I’d use the mobile app from one of my go-tos (probably Panera, Chick-fil-A, or Chipotle), and order ahead."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,1,Chick-fil-A,Chick-fil-A,positive,primary,"speed, convenience, app, taste, portability","I’d use the mobile app from one of my go-tos (probably Panera, Chick-fil-A, or Chipotle), and order ahead."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,1,Chipotle,Chipotle,positive,primary,"speed, convenience, app, taste, protein","I’d use the mobile app from one of my go-tos (probably Panera, Chick-fil-A, or Chipotle), and order ahead."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,2,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, app, loyalty, convenience","If I’m driving through, Chick-fil-A is my top bet for speed and consistency."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,2,Panera,Panera Bread,positive,secondary,"app, loyalty, convenience",Panera’s pickup shelf works well and they’re usually on time with app orders.
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,2,Subway,Subway,positive,secondary,"app, loyalty, convenience","Subway Footlong Black Forest Ham loaded with veggies, no heavy sauces, maybe a bag of chips, and a bottled water."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,3,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, quality, convenience, loyalty","Check your go-to apps (probably Chick-fil-A, Panera, or Taco Bell/Chipotle—whatever your regular spots are) and see who has the shortest estimated pickup window right now."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,3,Panera,Panera Bread,positive,primary,"speed, consistency, quality, convenience, loyalty","Check your go-to apps (probably Chick-fil-A, Panera, or Taco Bell/Chipotle—whatever your regular spots are) and see who has the shortest estimated pickup window right now."
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,3,Taco Bell,Taco Bell,neutral,mentioned,,"Check your go-to apps (probably Chick-fil-A, Panera, or Taco Bell/Chipotle—whatever your regular spots are)"
Marcus,Efficiency-Driven Professional,Q1_01,spontaneous_occasion,3,Chipotle,Chipotle,positive,primary,"speed, consistency, quality, convenience, loyalty","Check your go-to apps (probably Chick-fil-A, Panera, or Taco Bell/Chipotle—whatever your regular spots are) and see who has the shortest estimated pickup window right now."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,1,Chick-fil-A,Chick-fil-A,positive,primary,"consistency, convenience, taste, protein",Chick-fil-A is great if I want something filling but not too heavy; the grilled chicken sandwich or nuggets fit the bill and don’t leave me feeling sluggish.
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,1,Panera Bread,Panera Bread,positive,primary,"consistency, variety, convenience, app","Panera is solid for soups, salads, and sandwiches, and their app makes pickup pretty fast."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,1,Wendy’s,Wendy's,positive,secondary,"consistency, convenience, variety",Wendy’s is a good backup; I usually grab a grilled chicken sandwich or a burger with a side salad.
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, app, convenience, portability","Chick-fil-A: Their drive-thru is super efficient, and their grilled nuggets or chicken sandwich are reliable. Plus, I have their app and can order ahead."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Wendy’s,Wendy's,positive,secondary,"value, app, deals, consistency, convenience","Wendy’s: Good basics—grilled chicken sandwich or a plain burger, and the app often has a deal waiting for me."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Panera Bread,Panera Bread,positive,secondary,"health, convenience, variety","Panera Bread: If they’re close and have a drive-up pickup, that’s a slightly lighter choice. I usually go for a Chipotle Chicken Avocado Melt or a turkey sandwich—less likely to leave me feeling sluggish."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Chipotle,Chipotle,positive,secondary,"app, convenience, portability","Chipotle: Their app is fast, and pickup is simple. I’ll usually stick to a bowl for less mess in the car."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Subway,Subway,positive,mentioned,"portability, convenience","Subway or Jersey Mike’s: If I see one with good parking, a sandwich is easy to eat on the go."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,2,Jersey Mike’s,Jersey Mike’s,positive,mentioned,"portability, convenience","Subway or Jersey Mike’s: If I see one with good parking, a sandwich is easy to eat on the go."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,3,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, service, app, portability, protein","Chick-fil-A: The grilled chicken sandwich or nuggets are solid if I don’t want something heavy, and I know the service is consistent."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,3,Wendy’s,Wendy's,positive,secondary,"speed, consistency, quality, app, deals, portability","Wendy’s: I usually go for their grilled chicken sandwich or a burger and fries. Pretty predictable quality, and I can use my rewards account."
Marcus,Efficiency-Driven Professional,Q1_02,spontaneous_occasion,3,Panera Bread,Panera Bread,positive,secondary,"speed, quality, health, app, portability","Panera Bread: If I see one, their sandwiches or salads are decent, and it feels a bit lighter than typical fast food."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,1,McDonald’s,McDonald's,positive,primary,"speed, consistency, convenience, portability, app","I’d go for a place with a drive-thru and mobile ordering, like McDonald’s, Chick-fil-A, or Dunkin’. All three have solid breakfast menus—hard to go wrong with an Egg McMuffin"
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,1,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, convenience, portability, protein, app","hard to go wrong with an Egg McMuffin or Chick-fil-A chicken biscuit, and Dunkin' has those breakfast wraps that aren’t too heavy.

If I want something with a bit more protein that’ll keep me full until lunch, Chick-fil-A’s breakfast is a good bet when it’s open"
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,1,Dunkin’,Dunkin',positive,primary,"speed, consistency, convenience, portability, app","Dunkin’ has those breakfast wraps that aren’t too heavy.

If I’m really short on time and want to be in and out, Dunkin’ is usually the fastest."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,2,McDonald’s,McDonald's,positive,primary,"speed, app, convenience, portability, taste","Can’t beat the speed, and I use the app to order ahead. Sausage McMuffin or Egg McMuffin is quick and filling, and the coffee’s decent."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,2,Starbucks,Starbucks,positive,secondary,"app, convenience, portability, variety","I’ve got the app, so mobile order is a breeze. I’ll grab a breakfast sandwich (bacon, gouda & egg is a go-to) and a coffee, then I’m back on the road."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,2,Dunkin’,Dunkin',positive,secondary,"speed, value, convenience","Their breakfast wraps and hashbrowns are fast and cheap, and the drive-thru usually moves quick."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,2,Panera,Panera Bread,positive,mentioned,"convenience, variety, loyalty","Panera’s drive-thru isn’t bad—egg sandwiches and coffee, plus rewards points rack up quick."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,3,Dunkin’,Dunkin',positive,primary,"speed, convenience, app","Dunkin’ – Good for a breakfast sandwich and coffee. The drive-through is usually fast, and ordering on the app lets you just grab and go."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,3,McDonald’s,McDonald's,positive,secondary,"consistency, deals, app, value","McDonald’s – Classic Egg McMuffin is hard to beat, and I know exactly what to expect. Their app deals sometimes make it super affordable."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,3,Starbucks,Starbucks,positive,secondary,"convenience, app, variety","Starbucks – If I want a breakfast wrap or a bagel with coffee, this is the spot. Mobile order makes pickup a breeze."
Marcus,Efficiency-Driven Professional,Q1_03,spontaneous_occasion,3,Wendy’s,Wendy's,positive,secondary,"quality, taste",Wendy’s – Their breakfast potatoes and sandwiches are solid and not too heavy.
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,1,Chipotle,Chipotle,positive,primary,"convenience, portability, app, loyalty, taste","Good for something filling but not too heavy. Their online app lets you customize your bowl or burrito, and pick-up is usually fast. Plus, you earn points if you have the Chipotle rewards account."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,1,Chick-fil-A,Chick-fil-A,positive,secondary,"speed, consistency, quality, taste, app",Super reliable for fast service and consistent quality. You can order ahead on their app; the grilled chicken sandwich or nuggets are tasty and not overly greasy.
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,1,Panera Bread,Panera Bread,positive,secondary,"health, speed, app, loyalty, convenience","If you want something that feels a bit lighter, their “You Pick Two” (half sandwich and salad or soup) is quick if you order ahead. The drive-through’s fast at most locations, and their app keeps track of your points."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,1,Wendy’s,Wendy's,positive,secondary,"variety, app, deals, convenience","Solid choice if you want burgers, chicken sandwiches, or a salad. The mobile app lets you order for drive-thru pick-up and often has deals or points."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,2,Chick-fil-A,Chick-fil-A,positive,primary,"speed, convenience, consistency",Chick-fil-A: Grilled Chicken Sandwich with a side salad or waffle fries — always fast and easy.
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,2,Panera Bread,Panera Bread,positive,secondary,"convenience, app, speed",Panera Bread: Pick up a Pick Two combo — maybe a half turkey sandwich and a cup of soup. You can order ahead on their app for quick pickup.
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,2,Chipotle,Chipotle,positive,secondary,"convenience, app, speed, variety","Chipotle: Burrito bowl with chicken, brown rice, beans, and fixings. Customize it how you like, and mobile order to skip the line."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,3,Chick-fil-A,Chick-fil-A,positive,primary,"speed, consistency, app, convenience","Chick-fil-A: Grilled nuggets meal or a chicken sandwich combo—reliable and quick, plus the app usually makes pickup super smooth."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,3,Chipotle,Chipotle,positive,secondary,"quality, protein, taste","Chipotle: Burrito bowl with chicken or steak, brown rice, veggies, and light on the cheese/sour cream. Fills me up but doesn’t leave me feeling like I need a nap."
Marcus,Efficiency-Driven Professional,Q1_04,spontaneous_occasion,3,Panera,Panera Bread,positive,secondary,"variety, health, convenience",Panera: The “You Pick Two” combo with a half sandwich and salad or soup works well when I want something that feels lighter but still satisfying. The Rapid Pick-Up is really straightforward.
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,1,Taco Bell,Taco Bell,positive,primary,"convenience, speed, portability","Taco Bell is a go-to—they’re open late, drive-through is efficient, and I can grab a couple grilled chicken burritos or a Crunchwrap without feeling overly stuffed."
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,1,McDonald’s,McDonald's,positive,secondary,"convenience, speed, app","McDonald’s is another option, since most locations near me have 24-hour drive-throughs and the app makes it easy to order ahead."
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,1,Wendy’s,Wendy's,positive,secondary,"consistency, quality",Wendy’s is reliable too if I want something a little less greasy; their grilled chicken sandwiches or spicy nuggets usually hit the spot.
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,2,Taco Bell,Taco Bell,positive,primary,"variety, convenience, portability, app, loyalty","Taco Bell’s got a bunch of options that don’t leave you feeling overly heavy, like their chicken soft tacos or a veggie burrito, and I can rack up some points on the app."
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,2,McDonald’s,McDonald's,positive,primary,"consistency, convenience, portability",McDonald’s is always reliable for a McChicken or a Filet-O-Fish if I want something light.
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,2,Wendy’s,Wendy's,positive,secondary,"deals, convenience, portability",Wendy’s late-night deals aren’t bad either—their grilled chicken wraps are a decent call.
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,3,McDonald’s,McDonald's,positive,primary,"speed, consistency, convenience, app, loyalty, value, variety","If it’s late and you want something quick and reliable, I’d go for one of the big chains that keep their drive-throughs open late—think McDonald’s, Taco Bell, or Wendy’s."
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,3,Taco Bell,Taco Bell,positive,primary,"speed, consistency, convenience, app, loyalty, value, variety","Taco Bell is a solid bet because their late-night hours are usually consistent, and you can grab a combo or a couple of burritos for under $15."
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,3,Wendy’s,Wendy's,positive,primary,"speed, consistency, convenience, app, loyalty, value, variety, protein",the grilled chicken sandwiches or wraps at Wendy’s or McDonald’s aren’t bad.
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,3,Sheetz,Sheetz,positive,secondary,"convenience, variety","If you’ve got a local 24-hour diner or a Sheetz/Wawa-type convenience store, those can also be clutch"
Marcus,Efficiency-Driven Professional,Q1_05,spontaneous_occasion,3,Wawa,Wawa,positive,secondary,"convenience, variety","If you’ve got a local 24-hour diner or a Sheetz/Wawa-type convenience store, those can also be clutch"
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,1,Taco Bell,Taco Bell,positive,primary,"value, variety, taste",The value menu lets you stack a couple beefy items (like a Beefy 5-Layer Burrito and a Cheesy Gordita Crunch) and stay under $8.
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,1,Wendy’s,Wendy's,positive,primary,"value, variety, taste, deals","Their $5 Biggie Bag is solid: sandwich, nuggets, fries, and a drink, all in. If you’re hungrier, you could grab another value menu item and still be around $8 after tax."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,1,McDonald’s,McDonald's,positive,primary,"value, variety, taste","Mix and match from the value menu—McChicken, McDouble, small fries, and maybe snag a water or coffee if you want to keep the cost low."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,1,Subway,Subway,positive,primary,"value, variety, deals, app, loyalty","A 6-inch sub (meatball, cold cut, spicy Italian) and water runs close to $7–$8. Sometimes they have app-only or loyalty deals that knock it down a bit more."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,2,Taco Bell,Taco Bell,positive,primary,"value, taste, convenience, portability, deals","The Beefy 5-Layer Burrito is solid—only a few bucks, pretty hearty, and I can add a value taco and still be under $8."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,2,Wendy’s,Wendy's,positive,primary,"value, taste, convenience, variety",A Jr. Bacon Cheeseburger with a small fries and a value drink should sneak in under budget and fill me up. Or a larger baked potato if I don’t want anything too greasy.
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,2,Subway,Subway,positive,primary,"value, variety, health, deals, convenience, loyalty",A 6-inch sub from their value menu—turkey or ham—with all the veggies piled on. Skip chips and a drink and use my Subway rewards to save even more.
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,3,Taco Bell,Taco Bell,positive,primary,"value, variety, taste, convenience","Taco Bell – Their value menu is a lifesaver. I’ll get a Beefy 5-Layer Burrito (~$3) plus a soft taco (~$2, if you add extras), maybe even throw in a side like chips and cheese (~$2). Whole meal, under $8, and definitely filling."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,3,Wendy’s,Wendy's,positive,secondary,"value, variety, taste, convenience","Wendy’s – The $5 Biggie Bag comes with a sandwich, nuggets, fries, and a drink. If I’m really hungry, I might tack on a small chili or a value menu item and still stay around $8."
Marcus,Efficiency-Driven Professional,Q2_01,need_constraint,3,Subway,Subway,positive,secondary,"value, variety, deals, app","Subway – The 6-inch sub combos can sometimes sneak under $8, especially from the daily deals or if you use rewards points."
